scenario,expected_profile,expected_signal,n,polynomial_degree,nuisance_model,legacy_partial_reject_rate,legacy_partial_reject_ci_low,legacy_partial_reject_ci_high,crossfit_residual_reject_rate,crossfit_residual_reject_ci_low,crossfit_residual_reject_ci_high,joint_increment_decision_rate,joint_increment_decision_ci_low,joint_increment_decision_ci_high,profile_pass_rate,profile_pass_ci_low,profile_pass_ci_high,repetitions,median_residual_r,median_delta_mse,median_relative_mse_improvement
genuine_increment,increment-survives,True,150,1,extra_trees,1.0,0.9286524008666414,1.0,1.0,0.9286524008666414,1.0,1.0,0.9286524008666414,1.0,1.0,0.9286524008666414,1.0,50,0.8133481646273637,0.04150336540084744,0.6909044775824403
genuine_increment,increment-survives,True,300,1,extra_trees,1.0,0.9286524008666414,1.0,1.0,0.9286524008666414,1.0,1.0,0.9286524008666414,1.0,1.0,0.9286524008666414,1.0,50,0.8225340372325647,0.04494649314994329,0.7503741685441574
linear_proxy,proxy-washout,False,150,1,extra_trees,0.06,0.02061497034897397,0.16217091688838173,0.96,0.8653990931249297,0.9889611156723802,0.96,0.8653990931249297,0.9889611156723802,0.0,6.938893903907228e-18,0.07134759913335872,50,0.6124582869855395,0.013533526557192454,0.4426723728745081
linear_proxy,proxy-washout,False,300,1,extra_trees,0.08,0.03154951408859298,0.18838246918342838,1.0,0.9286524008666414,1.0,1.0,0.9286524008666414,1.0,0.0,6.938893903907228e-18,0.07134759913335872,50,0.5606835232008892,0.011383357562336273,0.402987719288036
nonlinear_proxy,nonlinear-proxy-washout,False,150,1,extra_trees,1.0,0.9286524008666414,1.0,0.86,0.7381380628941446,0.9304916657298371,0.86,0.7381380628941446,0.9304916657298371,0.0,6.938893903907228e-18,0.07134759913335872,50,0.5735261401557286,0.005051541677995659,0.3989868678963728
nonlinear_proxy,nonlinear-proxy-washout,False,300,1,extra_trees,1.0,0.9286524008666414,1.0,0.64,0.501410168761127,0.7586125034815325,0.52,0.38511744890044614,0.6520286471342196,0.1,0.04347576493189041,0.21360231437479654,50,0.3396221172547931,0.0014608984807008086,0.1742085018668269
null_metric,no-increment,False,150,1,extra_trees,0.06,0.02061497034897397,0.16217091688838173,0.02,0.003539259271646236,0.10495443589637815,0.02,0.003539259271646236,0.10495443589637815,0.26,0.15871527493552393,0.39553157264848837,50,-0.03381535038932147,0.010887727240611622,0.30340941585659104
null_metric,no-increment,False,300,1,extra_trees,0.06,0.02061497034897397,0.16217091688838173,0.06,0.02061497034897397,0.16217091688838173,0.06,0.02061497034897397,0.16217091688838173,0.46,0.3296965219222435,0.5960112860084253,50,0.041483745484856914,0.008691277691203852,0.2805516135363371
post_treatment_control,estimand-warning,False,150,1,extra_trees,0.1,0.04347576493189041,0.21360231437479654,0.46,0.3296965219222435,0.5960112860084253,0.46,0.3296965219222435,0.5960112860084253,0.08,0.03154951408859298,0.18838246918342838,50,0.34905450500556173,0.004304068421185774,0.26619832633964124
post_treatment_control,estimand-warning,False,300,1,extra_trees,0.08,0.03154951408859298,0.18838246918342838,0.5,0.3664451431682858,0.6335548568317142,0.5,0.3664451431682858,0.6335548568317142,0.18,0.09770192670234178,0.30796053674300783,50,0.26424006668519034,0.001998357115821983,0.1530037005410606
simpson_increment,increment-after-environment-control,True,150,1,extra_trees,1.0,0.9286524008666414,1.0,1.0,0.9286524008666414,1.0,1.0,0.9286524008666414,1.0,1.0,0.9286524008666414,1.0,50,0.7808676307007787,0.014996150053499153,0.6024371015691892
simpson_increment,increment-after-environment-control,True,300,1,extra_trees,1.0,0.9286524008666414,1.0,1.0,0.9286524008666414,1.0,1.0,0.9286524008666414,1.0,1.0,0.9286524008666414,1.0,50,0.7994998610725204,0.015907873543249712,0.655952543414009
