scope,case_name,expected_signal,polynomial_degree,nuisance_model,n,repetitions,joint_decision_rate,joint_decision_ci_low,joint_decision_ci_high,sign_correct_rate,median_residual_r,median_delta_mse
balanced_pool,opposite_sign_task_specialists,heterogeneous,2,polynomial_ridge,108,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,-0.004212277825318756,-0.004109212355342846
task1,injected_increment,True,2,polynomial_ridge,96,100,1.0,0.9630065017930143,1.0,1.0,0.7811448724905046,0.028372172018518074
task1,real_design_proxy,False,2,polynomial_ridge,96,100,0.03,0.010254524024038925,0.0845193642905276,1.0,0.17873711340206183,-0.00011955088538325061
task1,real_structure_null,False,2,polynomial_ridge,96,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.005988876831253391,-0.00037112568544291763
task1,task_specialist,True,2,polynomial_ridge,96,100,1.0,0.9630065017930143,1.0,1.0,0.9100040694519804,0.061580361321107856
task2,injected_increment,True,2,polynomial_ridge,54,100,1.0,0.9630065017930143,1.0,1.0,0.8319420621307413,0.029598628658424633
task2,real_design_proxy,False,2,polynomial_ridge,54,100,0.07,0.03431926106727268,0.137495147390735,1.0,0.22248904135696584,0.00014154928132765858
task2,real_structure_null,False,2,polynomial_ridge,54,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.02264150943396226,-0.0006650364547987684
task2,task_specialist,True,2,polynomial_ridge,54,100,1.0,0.9630065017930143,1.0,1.0,-0.9022679626453209,0.06974560288710502
balanced_pool,opposite_sign_task_specialists,heterogeneous,4,polynomial_ridge,108,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,-0.0009301287787644349,-0.00694891174890868
task1,injected_increment,True,4,polynomial_ridge,96,100,1.0,0.9630065017930143,1.0,1.0,0.7906470428648942,0.028722314311851942
task1,real_design_proxy,False,4,polynomial_ridge,96,100,0.02,0.00550196755016235,0.07001179072854388,1.0,0.20242810634834507,0.0003559298790957047
task1,real_structure_null,False,4,polynomial_ridge,96,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.01831931633206728,-0.0007088710844649461
task1,task_specialist,True,4,polynomial_ridge,96,100,1.0,0.9630065017930143,1.0,1.0,0.9068366793271839,0.06344326506146346
task2,injected_increment,True,4,polynomial_ridge,54,100,0.98,0.929988209271456,0.9944980324498376,1.0,0.8425767105012387,0.03129930017258349
task2,real_design_proxy,False,4,polynomial_ridge,54,100,0.02,0.00550196755016235,0.07001179072854388,1.0,0.1967219363445778,-0.00037671169255297163
task2,real_structure_null,False,4,polynomial_ridge,54,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,-0.007242233657327996,-0.0009206624830942361
task2,task_specialist,True,4,polynomial_ridge,54,100,1.0,0.9630065017930143,1.0,1.0,-0.9048599199542595,0.06696016927046072
balanced_pool,opposite_sign_task_specialists,heterogeneous,6,polynomial_ridge,108,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,-0.016997224141886216,-0.00884687520174103
task1,injected_increment,True,6,polynomial_ridge,96,100,1.0,0.9630065017930143,1.0,1.0,0.7859264785675528,0.02637226999050793
task1,real_design_proxy,False,6,polynomial_ridge,96,100,0.03,0.010254524024038925,0.0845193642905276,1.0,0.19377373846988605,-6.253179694422177e-05
task1,real_structure_null,False,6,polynomial_ridge,96,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.005371676614215951,-0.001228687133149488
task1,task_specialist,True,6,polynomial_ridge,96,100,1.0,0.9630065017930143,1.0,1.0,0.9077658708627239,0.06256109092317247
task2,injected_increment,True,6,polynomial_ridge,54,100,1.0,0.9630065017930143,1.0,1.0,0.8421574232894986,0.029866372623210548
task2,real_design_proxy,False,6,polynomial_ridge,54,100,0.02,0.00550196755016235,0.07001179072854388,1.0,0.20647989327234606,-0.0014160266827855789
task2,real_structure_null,False,6,polynomial_ridge,54,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.0045740423098913656,-0.0013486260098497047
task2,task_specialist,True,6,polynomial_ridge,54,100,1.0,0.9630065017930143,1.0,1.0,-0.9011625690870972,0.06780834798040797
