task,metric,n,unique_values,minimum,median,maximum,descriptive_spearman_to_accuracy_gap
task1,parameter_count,24,8,1671114.0,7315082.0,19169290.0,0.5371752923264345
task1,parameter_l2,24,24,17.965960547280194,31.80181979553963,69.04309139753336,-0.5069565217391303
task1,initial_parameter_l2,24,24,23.13605912169725,30.79810052200335,42.60338172737494,-0.7513043478260868
task1,distance_from_initialization_l2,24,24,9.439337226830467,22.851963803272444,57.60023104343591,-0.7104347826086955
task1,relative_distance_from_initialization,24,24,0.2888045723384435,0.742478118434158,1.9674972425919568,-0.5339130434782609
task1,update_to_weight_ratio,24,24,0.2746145257259191,0.7479678012735012,1.6619582060897753,-0.3878260869565217
task1,frobenius_sum_sq,24,24,312.0299946753994,1013.7113152726445,4732.375842516289,-0.49217391304347824
task1,log_frobenius_product_sq,24,24,17.74384171918045,27.365433744179104,51.98858772500908,-0.7208695652173912
task1,spectral_sum_sq,24,24,23.931724227764327,45.69904194799359,305.4496134159464,-0.766086956521739
task1,log_spectral_product_sq,24,24,7.058592749970641,11.312210094890476,28.16021287328927,-0.8513043478260869
task2,parameter_count,24,3,3429898.0,6315018.0,9200138.0,-0.9035624609139905
task2,parameter_l2,24,24,72.06822983241759,108.93356536009995,138.4491260941255,0.2678260869565217
task2,initial_parameter_l2,24,24,50.77904870093844,64.16132190044618,75.19435096098616,-0.82
task2,distance_from_initialization_l2,24,24,57.0997251446381,72.32505286772502,152.48470942986052,0.29304347826086957
task2,relative_distance_from_initialization,24,24,0.830732339189737,1.0279636068289917,2.392398102262867,0.5443478260869564
task2,update_to_weight_ratio,24,24,0.5453586032690491,0.7575837615209873,1.170512352407041,0.09913043478260869
task2,frobenius_sum_sq,24,24,2758.033352064814,10014.619247726043,15967.007326949646,0.528695652173913
task2,log_frobenius_product_sq,24,24,43.34865988705229,62.155529482201956,85.35083339978421,-0.6965217391304346
task2,spectral_sum_sq,24,24,151.92338583383167,299.5135936111562,1296.6914605977347,0.5652173913043478
task2,log_spectral_product_sq,24,24,23.09795028063143,25.619657900001478,30.444446589179968,-0.03913043478260869
